State,year,winner_name,winner_party,total_votes,winner_votes,winner_percent,party_lean,PVI,key,Abbreviation,PVI_rank
Maryland,1828,"Adams, John Quincy",National Republican,45796,23014,0.5025329723,Whig/Other,0.06404691438,Whig/Other 4-9%,MD,6
New York,1828,"Jackson, Andrew",Democratic,270975,139412,0.5144828859,Whig/Other,0.04703105619,Whig/Other 4-9%,NY,5
Ohio,1828,"Jackson, Andrew",Democratic,130993,67597,0.516035208,Whig/Other,0.04547873408,Whig/Other 4-9%,OH,4
New Jersey,1828,"Adams, John Quincy",National Republican,45570,23753,0.5212420452,Whig/Other,0.08284750951,Whig/Other 4-9%,NJ,7
Louisiana,1828,"Jackson, Andrew",Democratic,8687,4605,0.5301024519,Whig/Other,0.03141149013,Whig/Other 0-4%,LA,3
New Hampshire,1828,"Adams, John Quincy",National Republican,44035,23823,0.5410014761,Whig/Other,0.1025154182,Whig/Other 9% or more,NH,8
Kentucky,1828,"Jackson, Andrew",Democratic,70776,39308,0.5553860066,Whig/Other,0.006127935509,Whig/Other 0-4%,KY,2
Indiana,1828,"Jackson, Andrew",Democratic,39309,22257,0.5662062123,Democratic,0.004692270252,Democratic 0-4%,IN,1
Maine,1828,"Adams, John Quincy",National Republican,34789,20773,0.5971140303,Whig/Other,0.1601594752,Whig/Other 9% or more,ME,13
Pennsylvania,1828,"Jackson, Andrew",Democratic,152500,101652,0.6665704918,Democratic,0.1050565497,Democratic 9% or more,PA,9
Illinois,1828,"Jackson, Andrew",Democratic,14222,9560,0.6721980031,Democratic,0.110684061,Democratic 9% or more,IL,10
Virginia,1828,"Jackson, Andrew",Democratic,38924,26854,0.6899085397,Democratic,0.1283945977,Democratic 9% or more,VA,11
Missouri,1828,"Jackson, Andrew",Democratic,11654,8232,0.7063669126,Democratic,0.1448529706,Democratic 9% or more,MO,12
Connecticut,1828,"Adams, John Quincy",National Republican,19378,13829,0.7136443389,Whig/Other,0.318147963,Whig/Other 9% or more,CT,17
North Carolina,1828,"Jackson, Andrew",Democratic,51747,37814,0.7307476762,Democratic,0.1694456187,Democratic 9% or more,NC,14
Vermont,1828,"Adams, John Quincy",National Republican,33713,25363,0.7523210631,Whig/Other,0.3138350052,Whig/Other 9% or more,VT,16
Massachusetts,1828,"Adams, John Quincy",National Republican,39074,29836,0.763576803,Whig/Other,0.3938058412,Whig/Other 9% or more,MA,21
Rhode Island,1828,"Adams, John Quincy",National Republican,3575,2754,0.7703496503,Whig/Other,0.3318635924,Whig/Other 9% or more,RI,18
Mississippi,1828,"Jackson, Andrew",Democratic,8344,6763,0.8105225312,Democratic,0.2490085891,Democratic 9% or more,MS,15
Alabama,1828,"Jackson, Andrew",Democratic,18618,16736,0.8989150285,Democratic,0.3375942561,Democratic 9% or more,AL,19
Tennessee,1828,"Jackson, Andrew",Democratic,46533,44293,0.9518621194,Democratic,0.3903481773,Democratic 9% or more,TN,20
Georgia,1828,"Jackson, Andrew",Democratic,20004,19362,0.9679064187,Democratic,0.4063924767,Democratic 9% or more,GA,22
Vermont,1832,"Wirt, William",Anti-Masonic,32128,13106,0.4079307769,Whig/Other,0.1834047653,Whig/Other 9% or more,VT,14
Massachusetts,1832,"Clay, Henry",National Republican,67619,31963,0.4726925864,Whig/Other,0.2935585803,Whig/Other 9% or more,MA,17
New Jersey,1832,"Jackson, Andrew",Democratic,47760,23826,0.4988693467,Whig/Other,0.09333009352,Whig/Other 9% or more,NJ,8
Maryland,1832,"Clay, Henry",National Republican,38316,19160,0.5000521975,Whig/Other,0.09718843161,Whig/Other 9% or more,MD,9
Delaware,1832,"Clay, Henry",National Republican,8386,4276,0.5098974481,Whig/Other,0.1070336822,Whig/Other 9% or more,DE,10
Ohio,1832,"Jackson, Andrew",Democratic,158294,81246,0.5132601362,Whig/Other,0.08222036756,Whig/Other 4-9%,OH,6
New York,1832,"Jackson, Andrew",Democratic,323393,168497,0.5210285937,Whig/Other,0.0761076404,Whig/Other 4-9%,NY,5
Kentucky,1832,"Clay, Henry",National Republican,79741,43449,0.5448765378,Whig/Other,0.1420127719,Whig/Other 9% or more,KY,11
Maine,1832,"Jackson, Andrew",Democratic,62153,33978,0.546683185,Whig/Other,0.04292722726,Whig/Other 4-9%,ME,3
Connecticut,1832,"Clay, Henry",National Republican,32833,18155,0.5529497761,Whig/Other,0.2141495565,Whig/Other 9% or more,CT,15
New Hampshire,1832,"Jackson, Andrew",Democratic,43793,24855,0.5675564588,Whig/Other,0.0295797753,Whig/Other 0-4%,NH,2
Rhode Island,1832,"Clay, Henry",National Republican,4936,2810,0.569286872,Whig/Other,0.1664231061,Whig/Other 9% or more,RI,13
Pennsylvania,1832,"Jackson, Andrew",Democratic,158638,91949,0.5796152246,Democratic,0.4028637659,Democratic 9% or more,PA,21.5
Louisiana,1832,"Jackson, Andrew",Democratic,6337,3908,0.6166955973,Democratic,0.01955936319,Democratic 0-4%,LA,1
Indiana,1832,"Jackson, Andrew",Democratic,47023,31551,0.6709695256,Democratic,0.07383329146,Democratic 4-9%,IN,4
Illinois,1832,"Jackson, Andrew",Democratic,21481,14609,0.6800893813,Democratic,0.08699788598,Democratic 4-9%,IL,7
Virginia,1832,"Jackson, Andrew",Democratic,45682,34243,0.7495950265,Democratic,0.1525080226,Democratic 9% or more,VA,12
North Carolina,1832,"Jackson, Andrew",Democratic,29799,25261,0.8477130105,Democratic,0.2505767764,Democratic 9% or more,NC,16
Tennessee,1832,"Jackson, Andrew",Democratic,29425,28078,0.9542225998,Democratic,0.3570863657,Democratic 9% or more,TN,18
Alabama,1832,"Jackson, Andrew",Democratic,14291,14286,0.9996501295,Democratic,0.4025138954,Democratic 9% or more,AL,19
Georgia,1832,"Jackson, Andrew",Democratic,20750,20750,1,Democratic,0.4028637659,Democratic 9% or more,GA,21.5
Mississippi,1832,"Jackson, Andrew",Democratic,5750,5750,1,Democratic,0.4028637659,Democratic 9% or more,MS,21.5
Missouri,1832,"Jackson, Andrew",Democratic,5192,5192,1,Democratic,0.4028637659,Democratic 9% or more,MO,21.5
New Jersey,1836,"Harrison, William",Whig,51729,26137,0.5052678382,Whig/Other,0.08651377365,Whig/Other 4-9%,NJ,8
Connecticut,1836,"Van Buren, Martin",Democratic,38093,19294,0.5064972567,Whig/Other,0.07474867878,Whig/Other 4-9%,CT,7
Pennsylvania,1836,"Van Buren, Martin",Democratic,178692,91457,0.5118136234,Whig/Other,0.06943231205,Whig/Other 4-9%,PA,6
Mississippi,1836,"Van Buren, Martin",Democratic,20079,10297,0.5128243438,Democratic,0.4187540645,Democratic 9% or more,MS,20.5
Louisiana,1836,"Van Buren, Martin",Democratic,7425,3842,0.5174410774,Democratic,0.4187540645,Democratic 9% or more,LA,20.5
Georgia,1836,"White, Hugh",Whig,47259,24481,0.5180177321,Democratic,0.4187540645,Democratic 9% or more,GA,20.5
Ohio,1836,"Harrison, William",Whig,202333,104958,0.5187389106,Whig/Other,0.1029163464,Whig/Other 9% or more,OH,9
Rhode Island,1836,"Van Buren, Martin",Democratic,5674,2964,0.5223827987,Whig/Other,0.05886313676,Whig/Other 4-9%,RI,5
Kentucky,1836,"Harrison, William",Whig,70090,36861,0.5259095449,Whig/Other,0.1071554804,Whig/Other 9% or more,KY,10
North Carolina,1836,"Van Buren, Martin",Democratic,50153,26631,0.5309951548,Democratic,0.4187540645,Democratic 9% or more,NC,20.5
Delaware,1836,"Harrison, William",Whig,8895,4736,0.5324339517,Whig/Other,0.1139793438,Whig/Other 9% or more,DE,11
Maryland,1836,"Harrison, William",Whig,48119,25852,0.5372513976,Whig/Other,0.1184973331,Whig/Other 9% or more,MD,12
