State,year,winner_name,winner_party,total_votes,winner_votes,winner_percent,party_lean,PVI,key,Abbreviation,PVI_rank
Idaho,1912,"Wilson, Woodrow",Democratic,105754,33921,0.32075382491442406,Whig/Other,0.03375465304999914,Whig/Other 0-4%,ID,10
California,1860,"Lincoln, Abraham",Republican,119827,38733,0.32324100578333764,Democratic,0.06841943919659199,Democratic 4-9%,CA,11
North Dakota,1912,"Wilson, Woodrow",Democratic,86580,29555,0.3413605913605914,Whig/Other,0.06972201649733795,Whig/Other 4-9%,ND,20
Oregon,1912,"Wilson, Woodrow",Democratic,137040,47064,0.3434325744308231,Whig/Other,0.048462644450502024,Whig/Other 4-9%,OR,13
Montana,1912,"Wilson, Woodrow",Democratic,79826,27941,0.35002380176884723,Whig/Other,0.0499362468913061,Whig/Other 4-9%,MT,14
Washington,1912,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",322799,113698,0.3522253786411978,Whig/Other,0.17131903310745084,Whig/Other 9% or more,WA,37
Illinois,1912,"Wilson, Woodrow",Democratic,1146173,405048,0.3533916782196056,Whig/Other,0.09262366321477589,Whig/Other 9% or more,IL,26
Missouri,1860,"Douglas, Stephen",(Northern) Democratic,165563,58801,0.3551578553179152,Democratic,0.34864443304788817,Democratic 9% or more,MO,20
Massachusetts,1912,"Wilson, Woodrow",Democratic,488057,173408,0.3553027617675804,Whig/Other,0.05496183058338866,Whig/Other 4-9%,MA,16
Wyoming,1912,"Wilson, Woodrow",Democratic,42296,15310,0.36197276338188006,Democratic,0.019474370238396488,Democratic 0-4%,WY,7
Oregon,1860,"Lincoln, Abraham",Republican,14761,5344,0.36203509247340965,Democratic,0.009191765782480432,Democratic 0-4%,OR,3
Pennsylvania,1912,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",1217736,444894,0.3653451979739451,Whig/Other,0.13365528895619366,Whig/Other 9% or more,PA,33
Vermont,1912,"Taft, William",Republican,62842,23332,0.3712803539034404,Whig/Other,0.1947612539048444,Whig/Other 9% or more,VT,40
Nevada,1992,"Clinton, Bill",Democratic,506318,189148,0.3735754999822246,Republican,0.016301415420721554,Republican 0-4%,NV,9
